post_id,platform,author_id,content,likes,comments,shares,post_date,engagement_score
XRnGNsxbnNU,Youtube,UCVNsLoYc5c6BhatQ5aO1T9g,"Microsoft Azure Data Engineering Course – Data Factory, Databricks &amp; Synapse",2,0,0,2025-08-16 13:06:46+00:00,2
1957705422774604185,Twitter,1664383163332808704,"@satyanadella Testing =COPILOT() on warehouse metrics first. If it works, my team's buying cake. Excel just got a data wizard.",0,0,0,2025-08-19 07:25:19+00:00,0
1957699674002821285,Twitter,101541840,"Data Infrastructure 

Data Warehouse

Data Source

Data Pipeline",0,0,0,2025-08-19 07:02:29+00:00,0
1957699274961047703,Twitter,926508672666226688,"@0xnesyA @irys_xyz That’s a powerful framing most chains just store data like barrels in a warehouse, but Irys turns it into living infrastructure",0,0,0,2025-08-19 07:00:54+00:00,0
1957683853620887931,Twitter,1840351785531351040,"RT @propchainmaster: Real estate doesn’t lack data.

It lacks structured and validated trust in that data.

That’s why we are building the…",0,0,109,2025-08-19 05:59:37+00:00,109
1957683519557193749,Twitter,1816436413820239872,"RT @propchainmaster: Real estate doesn’t lack data.

It lacks structured and validated trust in that data.

That’s why we are building the…",0,0,109,2025-08-19 05:58:17+00:00,109
1957683451131248698,Twitter,1942100471843639296,"RT @propchainmaster: Real estate doesn’t lack data.

It lacks structured and validated trust in that data.

That’s why we are building the…",0,0,109,2025-08-19 05:58:01+00:00,109
1957683007663350178,Twitter,1942637858445271040,"RT @propchainmaster: Real estate doesn’t lack data.

It lacks structured and validated trust in that data.

That’s why we are building the…",0,0,109,2025-08-19 05:56:15+00:00,109
1957662978142019906,Twitter,1115162104019816448,"MUFG Bank won at the SBR Technology Excellence Awards 2025 for its APAC Data Warehouse Project 1.0, which introduced advanced data storage and management tools to empower the bank’s business users and modernise workflows.

Read: https://t.co/2s3TKOUX6b

#SBRTechExcellenceAwards",0,0,0,2025-08-19 04:36:40+00:00,0
1957654734053208521,Twitter,1940438433199009793,"RT @propchainmaster: Real estate doesn’t lack data.

It lacks structured and validated trust in that data.

That’s why we are building the…",0,0,109,2025-08-19 04:03:54+00:00,109
1957646203434176994,Twitter,1877619209133502466,"🐍 Day 11 of my #DataScience journey:
✅ OLTP → handles fast, real-time transactions 
✅ OLAP → supports deep analysis &amp; trend discovery
✅ Data Warehouse → central repo for BI &amp; decision-making
Ops → Storage → Insights 🔄
#100DaysOfCode #BigData #DataEngineering #AI #Python",6,0,0,2025-08-19 03:30:00+00:00,6
AHR_7jFCMeY,Youtube,UCEBpSZhI1X8WaP-kY_2LLcg,What Is a Data Warehouse?,7654,81,0,2020-06-04 15:59:57+00:00,7735
k4tK2ttdSDg,Youtube,UCKWaEZ-_VweaEx1j62do_vQ,What is a Data Warehouse?,2660,31,0,2021-06-04 16:30:16+00:00,2691
-bSkREem8dM,Youtube,UC7cs8q-gJRlGwj4A8OmCmXg,Database vs Data Warehouse vs Data Lake | What is the Difference?,24631,344,0,2022-04-26 10:30:00+00:00,24975
oF_2uDb7DvQ,Youtube,UCh9nVJoWXmFb7sLApWGcLPQ,What is ETL | What is Data Warehouse | OLTP vs OLAP,12242,424,0,2020-02-15 03:01:38+00:00,12666
vv0ReKrEQf4,Youtube,UCwlJazSg1PqeAVEPg1OyllA,Introduction to Data Warehouse (Data Architecture | Data Warehouse),1193,21,0,2021-11-21 11:34:03+00:00,1214
NARrRbFKHeI,Youtube,UCrY1Ro4UXwMib9Qug3eJNWA,Data Architecture 101: The Modern Data Warehouse,1071,46,0,2023-07-05 18:29:38+00:00,1117
WgIbvkyY4mI,Youtube,UC8uU_wruBMHeeRma49dtZKA,KNOW the difference between Data Base // Data Warehouse // Data Lake (Easy Explanation👌),16374,524,0,2021-10-26 12:45:01+00:00,16898
J326LIUrZM8,Youtube,UCkw4JCwteGrDHIsyIIKo4tQ,Data Warehouse Tutorial For Beginners | Data Warehouse Concepts | Data Warehousing | Edureka,10782,265,0,2017-06-22 09:52:59+00:00,11047
3TveuTRbOw8,Youtube,UCTbu1loGYnMMClq1JoiA1Bw,Azure AI + Microsoft Fabric: From Data to Decisions,8,0,0,2025-08-16 18:19:47+00:00,8
9GVqKuTVANE,Youtube,UC8_RSKwbU1OmZWNEoLV1tQg,SQL Data Warehouse from Scratch | Full Hands-On Data Engineering Project,10143,593,0,2025-02-10 11:05:30+00:00,10736
